ADR,Organization-Project,primary_category,explanation,max_confidence_value
adr-003-store-connector-container-component.md,"('AYCHAIN', 'AYCHAIN.github.io')",Maintainability,"The ADR discusses implementing an architectural pattern (containers, connectors, components) to improve separation of concerns and modularity in the codebase. This focus on structuring the system for easier modifications and understanding aligns with maintainability attributes.",0.75
adr-004.md,"('Abelaa', 'pcmt')",Maintainability,"The ADR discusses using Ansible roles and playbooks to manage configuration, deployment, and provisioning processes. This focus on configuration management, automation, and ease of modification aligns closely with maintainability, emphasizing how effectively the system can be modified and managed over time.",0.6
adr-007.md,"('Abelaa', 'pcmt')",Primarily Functional,"The ADR primarily discusses versioning and release management processes, which are functional concerns related to how the system is built, released, and managed. There is no explicit or implied reference to non-functional quality attributes such as performance, security, reliability, or usability.",0.3
0003-for-config-prefer-prefix-over-nesting-and-don-t-hide-defaults-in-code.md,"('Accenture', 'reactive-interaction-gateway')",Maintainability,"The ADR primarily addresses how configuration is structured and managed to improve clarity, consistency, and ease of reasoning about defaults and key handling. These concerns relate to the system's maintainability, as they impact how easily developers can modify, understand, and extend configuration management.",0.75
005-cutting-release-branch.md,"('Accenture', 'sfpowerscripts')",Testability,"The ADR primarily discusses procedural and operational aspects of release management, such as automating artifact creation and streamlining release workflows. It does not reference any non-functional quality attributes like performance, security, or scalability. The focus is on process improvement rather than system qualities.",0.2
0009-message-driven-content-tracker-next-gen.md,"('Alfresco', 'SearchServices')",Performance,"The ADR emphasizes increasing throughput and mentions additional latency due to extra calls, which directly relate to system performance and resource utilization. The focus on throughput and latency indicates a concern with how efficiently the system performs under load.",0.85
0010-managing-secrets-used-by-dbp.md,"('Alfresco', 'alfresco-anaxes-shipyard')",Security,"The ADR primarily discusses securing sensitive data such as credentials, secrets, and access controls within a Kubernetes deployment. It emphasizes best practices, access control policies, encryption, and integration with external secret management systems, all of which are core aspects of security as a quality attribute.",0.85
0003-application-configuration-setup.md,"('Amsterdam', 'signals-frontend')",Maintainability,"The ADR discusses configuring the application to be adaptable for different branding and deployment contexts, emphasizing the ease of modifying configuration data and deployment options. This focus on how easily the system can be modified or adapted aligns with the maintainability attribute.",0.7
2019-11-20_webapp.md,"('BMMRO-tech', 'BMMRO')",Performance,"The ADR emphasizes offline capabilities and responsiveness, which relate to how efficiently the system performs under specific conditions, especially in constrained environments like offline usage and varying network conditions. The focus on caching, offline functionality, and update consistency suggests a concern with system responsiveness and resource utilization.",0.75
0014-use-mux-for-routing.md,"('CMSgov', 'easi-app')",Performance,"The ADR discusses selecting a routing solution to handle multiple dynamic endpoints efficiently, which directly impacts the system's performance by enabling faster request handling and scalability. While it does not explicitly mention performance metrics, the focus on routing efficiency and handling multiple endpoints suggests an emphasis on performance efficiency.",0.75
0021-audit-logging.md,"('CMSgov', 'easi-app')",Observability,"The ADR focuses on audit logging, which involves monitoring, recording, and analyzing system events and activities. This aligns closely with the quality attribute of Observability, as it emphasizes the system's ability to provide external outputs (logs, metrics) that infer internal states for monitoring and debugging purposes.",0.45
006-authentication.md,"('CSCfi', 'rems')",Security,"The ADR primarily discusses authentication protocols (OIDC, SAML) and related security considerations such as cookie handling, redirect flows, and session management, which are all centered around protecting user identity and access. The focus on secure authentication flows, cookie policies, and sign-out mechanisms indicates a strong emphasis on security attributes.",0.85
adr-0004-why-wrap-input-textarea.md,"('CleverCloud', 'clever-components')",Compatibility,"The ADR primarily discusses styling and layout decisions related to wrapping input elements, focusing on visual presentation and event handling. There is no explicit or implied reference to non-functional quality attributes such as performance, security, reliability, or scalability.",0.45
