ADR,Organization-Project,primary_category,explanation,max_confidence_value
adr-003-store-connector-container-component.md,"('AYCHAIN', 'AYCHAIN.github.io')",Existence (ontocrisis),"The ADR describes the implementation of a connection pattern between components, involving the creation and wiring of components, containers, and connectors. This directly relates to the structural aspect of the architecture, specifically the existence and organization of components and their interactions.",0.85
adr-004.md,"('Abelaa', 'pcmt')",Existence (ontocrisis),"The ADR describes a decision to implement provisioning mechanisms using specific tools (Ansible, Docker, Terraform), which involves creating and configuring deployment artifacts and environment elements. This aligns with the structural aspect of declaring elements that will exist in the system, such as deployment roles, playbooks, and environment configurations.",0.85
adr-007.md,"('Abelaa', 'pcmt')",Property (diacrisis),"The ADR primarily discusses versioning strategies, release marking, and constraints related to version identifiers, which are properties or qualities of the system rather than structural, behavioral, or organizational decisions. It sets rules and constraints about how versions are managed and labeled, fitting the property decision category.",0.8
0003-for-config-prefer-prefix-over-nesting-and-don-t-hide-defaults-in-code.md,"('Accenture', 'reactive-interaction-gateway')",Existence (ontocrisis),"The ADR primarily discusses decisions related to the structure and organization of configuration elements within the system, such as preferring prefixes over nesting and setting default values. These are structural decisions about what configuration elements will exist and how they are organized, aligning with the 'Existence' category.",0.85
005-cutting-release-branch.md,"('Accenture', 'sfpowerscripts')",Executive (pericrisis),"The ADR discusses a process and policy change related to release management, feed usage, and versioning strategies, which are driven by organizational and business considerations rather than direct system structure or properties. It involves decisions about how releases are coordinated and managed, aligning with organizational or process-level choices rather than technical architecture components.",0.9
0009-message-driven-content-tracker-next-gen.md,"('Alfresco', 'SearchServices')",Existence (ontocrisis),"The ADR discusses the architecture of a message-driven content tracker, including decisions about system components such as the Search Services, Content Repository, and Transform Service. These are structural elements that will exist in the system, and the decision revolves around their versions, interactions, and configurations, which aligns with the 'existence' category.",0.85
0010-managing-secrets-used-by-dbp.md,"('Alfresco', 'alfresco-anaxes-shipyard')",Existence (ontocrisis),"The ADR primarily discusses the creation and management of secret objects within Kubernetes, which are elements that will exist in the system's architecture. The decision to transform configuration files into Kubernetes secret objects directly relates to the structural aspect of the architecture, specifically the existence and handling of secrets as components within the deployment environment.",0.85
0003-application-configuration-setup.md,"('Amsterdam', 'signals-frontend')",Existence (ontocrisis),"The ADR discusses how configuration elements (such as URLs, package dependencies, and UI settings) will be managed and injected into the application, which directly relates to the existence and structuring of configuration artifacts within the architecture. The decision to inject configuration at build-time or runtime pertains to the creation and management of these elements, aligning with structural decisions about what artifacts will exist and how they are configured.",0.85
2019-11-20_webapp.md,"('BMMRO-tech', 'BMMRO')",Existence (ontocrisis),"The ADR primarily discusses the decision to create a web application with offline capabilities, which involves establishing the existence of a specific architectural element—the web app—along with its offline behavior and caching mechanisms. The focus is on defining the structure and behavior of the system components (e.g., web app, cache) necessary to meet the requirements.",0.85
0014-use-mux-for-routing.md,"('CMSgov', 'easi-app')",Existence (ontocrisis),"The ADR explicitly discusses the selection and implementation of a routing component (gorilla/mux) to be used in the system, which directly relates to the structural decision of which routing element will exist in the architecture. The decision focuses on choosing a specific routing library to implement routing functionality, thus establishing the existence of this component.",0.85
0021-audit-logging.md,"('CMSgov', 'easi-app')",Existence (ontocrisis),"The ADR primarily discusses the implementation and configuration of audit logging mechanisms, including where logs are stored, what data is logged, and how logging is performed. These are structural decisions about the existence and placement of logging artifacts and their interactions, aligning with the 'Existence' category.",0.85
006-authentication.md,"('CSCfi', 'rems')",Existence (ontocrisis),"The ADR primarily discusses the implementation and support of the OIDC authentication protocol, which involves establishing and supporting specific system elements such as the authentication flow, cookies, and integration with identity providers. The focus on supporting OIDC and related infrastructure indicates a structural decision about system components and their interactions.",0.85
adr-0004-why-wrap-input-textarea.md,"('CleverCloud', 'clever-components')",Existence (ontocrisis),"The ADR primarily discusses the structural decision to wrap `<input>` and `<textarea>` elements within a `div.wrapper`, which directly relates to the creation and organization of architecture elements (the wrapper component). It focuses on the existence and arrangement of UI components and their styles, aligning with structural (existence) decisions.",0.85
0004-language-choices-for-new-development.md,"('Crown-Commercial-Service', 'CCS-Architecture-Decision-Records')",Executive (pericrisis),"The ADR specifies a policy or guideline regarding the choice of programming languages for new development, which is driven by organizational, strategic, and business considerations rather than the structural or property aspects of the system. It also mentions future re-evaluation and constraints, aligning with executive decisions that influence development processes and organizational standards.",0.9
0016-data-structure-tasks-submissions-entries-and-files.md,"('Crown-Commercial-Service', 'ReportMI-service-manual')",Existence (ontocrisis),"The ADR primarily discusses the structural organization of data entities within the system (Tasks, Submissions, Entries, Files) and how they will be stored and related. It focuses on defining what elements will exist in the data model and their relationships, which aligns with the structural aspect of the existence category.",0.85
0021-generate-a-data-export-for-finance.md,"('Crown-Commercial-Service', 'ReportMI-service-manual')",Executive (pericrisis),"The ADR primarily addresses a procedural and organizational decision to generate and transfer a data export file, including where the code will reside and how the process will be managed. It does not specify structural or behavioral design elements, nor does it focus on system properties or existence/absence of components, but rather on operational and organizational choices related to the data export process.",0.7
0008-api-extensions-mechanism.md,"('DFE-Digital', 'apply-for-teacher-training')",Executive (pericrisis),"The ADR primarily addresses a strategic choice about whether to implement an API extension mechanism, which is driven by organizational and business considerations rather than direct architectural or technical constraints. It involves decisions related to the development process, release strategy, and organizational priorities, characteristic of executive decisions.",0.7
0006-use-dotenv-for-managing-environment-variables.md,"('DFE-Digital', 'buy-for-your-school')",Existence (ontocrisis),"The ADR explicitly discusses the decision to adopt DotEnv for managing environment variables, which is a structural element of the system's configuration. It focuses on the existence and management of environment variables within the architecture, aligning with the creation and handling of system artifacts.",0.85
0012-automate-dqt-integration.md,"('DFE-Digital', 'claim-additional-payments-for-teaching')",Existence (ontocrisis),"The ADR primarily discusses the integration of an external data source (DQT) via API, and the replacement of manual verification processes with automated ones. This involves decisions about which system components (the DQT dataset, API, and claim service) will exist and how they will interact, aligning with structural and behavioral aspects of system architecture.",0.85
007-Integration-Approaches.html.md.erb,"('DFE-Digital', 'csc-swr-architecture')",Existence (ontocrisis),"The ADR describes the development and deployment of an API Gateway, REST Proxy, and Event Backbone, which are concrete architectural elements that will exist in the system. It also discusses the use of event sourcing as a potential solution, indicating decisions about the existence and structure of system components and connectors.",0.85
0004-non-integer-trainee-ids.md,"('DFE-Digital', 'register-trainee-teachers')",Existence (ontocrisis),"The ADR discusses the decision to implement a specific type of identifier (non-integer trainee IDs) and the implications of this choice, which directly relates to the existence of an element (the ID scheme) within the system architecture. The decision to use a particular ID type (Rails built-in secure token) involves structural considerations about what identifiers will exist and how they will be generated and used.",0.85
0008-use-skylight-for-performance-monitoring.md,"('DFE-Digital', 'teacher-training-api')",Existence (ontocrisis),"The ADR discusses choosing a specific performance monitoring tool (Skylight) over another (Sentry), which involves the decision to include or exclude certain system components or artifacts related to performance monitoring. This aligns with the structural aspect of existence decisions, as it pertains to the presence of monitoring tools within the system architecture.",0.85
0004_define_environments_after_gov_uk_paas_migration.md,"('DFE-Digital', 'teaching-vacancies')",Existence (ontocrisis),"The ADR primarily discusses the creation and configuration of different deployment environments (staging and production), as well as the use of local environments for development and testing. These are structural decisions about which elements (environments) will exist in the system architecture, aligning with the 'Existence' category.",0.85
0010-confirm-performance-issues-before-optimizing.md,"('Datatamer', 'tamr-client')",Executive (pericrisis),"The ADR focuses on a development process decision, prioritizing simplicity and readability over performance optimization unless explicitly justified by performance issues. It addresses how to approach implementation choices in the context of project priorities, which aligns with organizational or process-level considerations rather than structural, behavioral, or property aspects.",0.5
0004-inverse-relationships-sample-update.md,"('EBIBioSamples', 'biosamples-v4')",Executive (pericrisis),"The ADR pertains to a process decision regarding how relationship inversion should be handled in the system, specifically choosing not to change the update date of samples. This decision is driven by considerations of system behavior and external stakeholder needs (e.g., NCBI), rather than the creation or elimination of system elements or qualities. It reflects a business or organizational choice affecting the system's operational behavior rather than its structure or properties.",0.7
74-schemaorg-additionalType-vs-RDF-typing.md,"('ESIPFed', 'science-on-schema.org')",Existence (ontocrisis),"The ADR discusses the implementation of code splitting strategies, which involve creating and managing multiple code bundles (artifacts) to optimize client-side performance. This directly relates to the structural decision of which code elements (bundles, chunks) will exist in the system and how they are organized, fitting the 'Existence' category.",0.85
boolean.md,"('ElektraInitiative', 'libelektra')",Existence (ontocrisis),"The ADR focuses on defining the existence and representation of boolean values within the system, specifying which elements (strings '0' and '1') are permitted and how they are stored and interpreted. This directly relates to the structural aspect of the architecture, particularly the data representation and storage decisions.",0.85
functions_with_buffers.md,"('ElektraInitiative', 'libelektra')",Ban/Non-Existence (anticrisis),"The ADR explicitly discusses removing certain functions from the API, which is a decision to eliminate or rule out specific elements (functions) from the system. This aligns with the concept of non-existence decisions that declare elements will not be part of the final design.",0.7
multiple_file_backends.md,"('ElektraInitiative', 'libelektra')",Existence (ontocrisis),"The ADR primarily discusses the existence and management of multiple files and backends within the system, focusing on how these elements are created, supported, and interact. It addresses the structural aspect of whether multiple files/backends will exist and how they are supported or limited, which aligns with the 'Existence' decision category.",0.85
store_name.md,"('ElektraInitiative', 'libelektra')",Existence (ontocrisis),"The ADR primarily discusses a structural change to how key names are stored within the system, specifically deciding to store only the unescaped key name instead of both escaped and unescaped versions. This decision directly affects the existence and representation of an element (the key name) within the system's data structures, aligning with the 'Existence' category.",0.85
project-name.md,"('Financial-Times', 'dotcom-page-kit')",Existence (ontocrisis),"The ADR primarily discusses the implementation of inter-process communication mechanisms (zeromq and redis) to enable communication between services and within the backend system. These decisions involve the creation and configuration of communication channels and infrastructure components, which are structural elements of the architecture.",0.85
0003-http-api.md,"('Flowminder', 'FlowKit')",Existence (ontocrisis),"The ADR primarily discusses the decision to incorporate Jupyter notebooks as core components within the AutoFlow system, which involves the creation and integration of new artifacts (notebooks, tools like Papermill and Scrapbook). This aligns with the structural aspect of declaring elements that will exist in the architecture, such as notebooks and associated tools.",0.85
0004-use-create-react-app-and-npm-eject-to-create-the-basis-of-the-project-structure.md,"('FoodStandardsAgency', 'register-a-food-business-front-end')",Existence (ontocrisis),"The ADR discusses restructuring the application by refactoring models, combining entities, and addressing overlaps and relationships among system components. These are structural decisions aimed at defining what elements (e.g., Places, Partners, Locations) will exist and how they are organized within the system architecture.",0.85
2020-08-10-architecture-decision-records.md,"('HEPTACOM', 'heptaconnect-docs')",Existence (ontocrisis),"The ADR discusses enabling data emission during exploration, which involves defining how data sources and data flows will exist and interact within the system. The decision to allow emission at exploration time directly impacts the structural and behavioral elements of the architecture, such as data flow models and data source handling.",0.85
creating_continuous_inpatient_spells.md,"('HFAnalyticsLab', 'HES_pipeline')",Existence (ontocrisis),"The ADR discusses hardcoding variable names, which directly relates to the explicit declaration of certain elements (variables, columns) existing in the system. It involves decisions about which variables are present and how they are referenced, aligning with structural existence decisions.",0.85
0004-application-logging.md,"('HHS', 'Head-Start-TTADP')",Existence (ontocrisis),"The ADR details the implementation of specific security scanning tools (ESLint, Yarn audit, OWASP ZAP), which are concrete artifacts and components integrated into the development and deployment process. These decisions are about establishing and configuring tools that will exist within the system's development pipeline, aligning with structural and behavioral aspects of the architecture.",0.85
004-configuration-by-environment-variable.md,"('HHS', 'TANF-app')",Executive (pericrisis),"The ADR primarily outlines a workflow process and procedural guidelines for contributing, reviewing, and merging code changes within a development environment. These decisions are driven by organizational policies, development practices, and business process considerations rather than the creation or exclusion of specific system elements or properties.",0.65
0013-handle-eventual-consistency-with-etags.md,"('Informatievlaanderen', 'publicservice-registry')",Property (diacrisis),"The ADR discusses the classification and handling of data records, their types, and how changes are interpreted and processed, which relates to system properties and constraints on data management. It emphasizes the enduring qualities of data handling rules and the logic governing change recognition, rather than the existence of specific system elements or organizational policies.",0.6
004-temporary-and-permanent-identifiers.md,"('Informatievlaanderen', 'road-registry')",Existence (ontocrisis),"The ADR explicitly states the decision to use 'systemd' as the init system, which involves selecting and establishing the existence of a specific system component within the architecture. This is a structural decision about which init system will be implemented, aligning with the 'Existence' category.",0.9
0011-preinstallable-images-on-data-volume.md,"('Internet-of-People', 'titania-os')",Executive (pericrisis),"The ADR primarily concerns a process and organizational strategy for managing releases and branching, which are driven by business and organizational needs rather than directly by system structure or qualities. It involves decisions about release schedules, branching strategies, and deployment environments, aligning with organizational and process-level concerns.",0.75
0018-use-regular-expression-to-split-multiple-sentence-titles.md,"('JabRef', 'jabref')",Executive (pericrisis),"The ADR focuses on a decision related to how preferences are stored and managed, which impacts the development process and system behavior but is driven by considerations of system design and implementation strategy rather than structural or quality attributes. It reflects a choice about the approach to storing preferences, which aligns with organizational or process-level decisions rather than direct system structure or properties.",0.6
0021-keep-study-as-a-dto.md,"('JabRef', 'jabref')",Existence (ontocrisis),"The ADR describes a decision to move an existing script into a Docker container and create a new script for Windows compatibility, which involves the creation and placement of specific artifacts (scripts and images). This is primarily a structural decision about the existence and organization of system components.",0.85
0005-use-cpp-to-interface-with-the-ftduino.md,"('KIT-SOC4S', 'ftd-scratch3-offline')",Existence (ontocrisis),"The decision to implement complex functions within helper functions directly relates to the creation and organization of software elements (functions) within the system. It involves structuring code into specific components (helper functions) to manage complexity, which aligns with the structural aspect of declaring elements that will exist in the design.",0.85
0003-Pipeline_API_Rewrite.md,"('KonduitAI', 'konduit-serving')",Existence (ontocrisis),"The ADR primarily discusses the support and management of remote resources (URIs, URLs, protocol handlers, caching) which relate to the existence of external artifacts such as configuration files and models. The decision focuses on enabling the system to locate, download, and cache these resources, which aligns with the structural aspect of declaring elements that will exist in the system.",0.85
0004-build-an-abstracted-resident-store.md,"('LBHackney-IT', 'evidence-api')",Existence (ontocrisis),"The ADR discusses the adoption and configuration of messaging components (SNS and SQS) to enable event-driven communication between microservices. This involves the explicit decision to introduce these messaging elements into the architecture, which is a structural decision about what elements will exist in the system.",0.85
Event-Driven-Architecture.md,"('LBHackney-IT', 'lbh-adrs')",Existence (ontocrisis),"The ADR describes the adoption and integration of AWS X-Ray, a tool that provides observability features such as logging, tracing, and visualization of system components. This decision directly involves the creation and deployment of an architectural element (the X-Ray service and its integration) to enable observability within the system, which aligns with the structural and behavioral aspects of existence decisions.",0.85
0005-use-eslint.md,"('LBHackney-IT', 'lbh-frontend-react')",Existence (ontocrisis),"The ADR primarily discusses the creation and organization of components within the library, which directly relates to decisions about what elements will exist in the system. It focuses on insulating importers from internal implementation details by creating new components, thus establishing the existence of these components in the architecture.",0.85
