text;ADR;Organization-Project;primary_category;explanation;max_confidence_value;human;Agreement
'adr 3: connecting the store to a component pwa-starter-kit is an example of a Redux application working with Polymer 3. While it serves its purpose, the separation of concerns is not entirely clear between the state and the views, which means that in the example views have too much knowledge of what provides and modfies the state. This is potentially dangerous for scalability, and bloats the view code with decisions that shouldn't be of its concerns. React provides an architectural pattern to handle this abstraction, in the shape of Containers. Containers are wrapper around the view component, which connect (via the react-redux helper function of the same name) the view and the state (to read it, and to action it). This pattern is interesting because from an architectural standpoint every responsibility is properly distributed. The view receives props, may they be data or callback functions, and utilizes them, the container selects where to retrieve the data or callback functions, and the state solely stores the data and provide mechanisms to modify it. We decided to keep this approach for a Polymer project too. Because the out-of-the-box tools do not provide that abstraction, we implemented our own architectural approach to fit this need. A visual representation of the intent is as follows: The state handles the live data of the application. The connector has an instantiation of the store, but is also a metaview, which enables communication with the methods of the store, without exposing it elsewhere. The container is an instance of the connector, which allows defining which part of the state and which actions we would like to bind to its wrapped component. And the wrapped component is just a regular component which expects some props, but does not know nor care where they come from. Accepted Implementation of components that need to access the state must follow this pattern. There are 2 types of components in Polymer, pure functions and classes (extending LitElement). The implementation of this approach differs a little bit, due to technical Constraint of LitElement. Example of a pure function: Component';adr-003-store-connector-container-component.md;('AYCHAIN', 'AYCHAIN.github.io');Design;The ADR primarily discusses the architectural pattern for connecting state and components within a UI framework, which pertains to the logical organization and structure of the system. It details how components, containers, and connectors are structured and interact, aligning with design and architectural organization rather than technology, infrastructure, or other categories.;0,85;Design;1.0
'4. compute provisioning through ansible Accepted, 2019-07-01 While PCMT's basic unit of deployment is Docker and Docker-Compose (ADR #2), and Terraform is able to provision a cloud environment (ADR #3), we still need to address a gap where the computing environment needs to be provisioned and client configuration needs to be loaded. We will use ready-made Ansible roles to install the latest versions of Docker and Docker-Compose, utilized through Terraform. We will build PCMT Ansible role's that will serve as a template and are available in the Ansible Galaxy repository. Configuration of a PCMT instance will be managed as part of an Ansible Playbook. Deploying, upgrading and destroying PCMT instances will be managed through instance specific Ansible playbooks. The target environment will need to be addressed and accessible from the controlling environment over SSH. Copyright (c) 2019, VillageReach.  Licensed CC BY-SA 4.0:  https://creativecommons.org/licenses/by-sa/4.0/';adr-004.md;('Abelaa', 'pcmt');Infrastructure;The ADR focuses on provisioning and deployment environment setup using tools like Ansible, Terraform, and Docker, which are related to deployment infrastructure and environment configuration.;0,70;Infrastructure;1.0
'7. versioning and release mechanism Accepted, 2019-10-15 PCMT wants to accomplish a number of goals through the use of versions: Convey to stakeholders the initial suitability of the project: Pre-v1: In development for global stakeholders. Version 1: Production ready for global stakeholders. Version 2: Production ready for national stakeholders. Leverage semantic versioning to convey to dependents the nature of the release.  e.g. is it a patch-release, major new functionality, etc. Mark a specific state of the code-base, tied to a released asset. Indicate which version of Akeneo that PCMT is derived from. We will version PCMT by Semantic Versioning 2.0.  However since Docker tags do not support the use of the + symbol, we'll use - in its place. We will have a build number (from the commit SHA), which is from a CI pipeline, that includes a distinct set of commits. We will expire and remove old Build numbers, so they need to be pruned regularly. We will not publish assets if a pipeline fails, and conversely if a pipeline is re-run, it consists of the same commits (state of the code), and therefore it should have the same build number. We will promote build numbers to a showcase or UAT server, manually. We will promote build numbers to a release, manually. We will keep the semantic version of the system separate from the build number, in a file in the SCM.  When an asset is labeled from the CI pipeline, it'll use the full form by placing the build number in the build meta-data of the Semantic Version.  e.g. 1.0.0+48af4a30 When promoting to a release we will co-label the published assets such that one asset will have the build number, and the released asset will not include that number. e.g. version 1.0.0 might be image:v1.0.0+SHA and image:v1.0.0, which are equivalent assets. Semantic versions must be set carefully and intentionally.  They should only be set by those intending to designate a release. Builds, pre-releases, and stable releases are all controlled through the setting of the semantic version in the SCM, and the commits that the CI server builds.';adr-007.md;('Abelaa', 'pcmt');Technology;The ADR focuses on establishing a versioning and release mechanism, which involves selecting specific standards and practices related to versioning, CI/CD pipelines, and tagging conventions. These are primarily technology choices concerning how the system's releases are managed and identified.;0,75;Technology;1.0
"'3. for config, prefer prefix over nesting and don't hide defaults in code Date: 18/08/2017 Superceded by 4. Use Rig.Config for global configuration There no agreed-upon way of handling application configuration. There are two issues this ADR aims to address. We prefer not to nest configuration keys; instead, we prefix them where it makes sense. For example, instead of config :rig, :kafka, client_id: :rig_brod_client we write config :rig, kafka_client_id: :rig_brod_client. This allows us to leverage the built-in methods (e.g., Application.fetch_env!), which produce sensible error messages in case required values are not defined. We always set default values in config.exs (in turn this means that we prefer Application.fetch_env! over Application.get_env). This way, it is easy to reason about default values, and using a default value in more than one place is not an issue. We streamline the way configuration is done for the different parts of the application, which makes the configuration easier to read and reason about. In config.exs, configuration keys can be nested by using a Keyword as value. Unfortunately, there is no built-in support for this nesting. For example: Application.fetch_env!(:rig, :required_key) will show a nice error, while Application.fetch_env!(:rig, :required_key)[:required_subkey] will simply return nil in case :required_key is present but :required_subkey is not. Some default values are defined where they are needed in the code, which is a problem once a key is used more than once. Also, defaults are no easily inspectable.'";0003-for-config-prefer-prefix-over-nesting-and-don-t-hide-defaults-in-code.md;('Accenture', 'reactive-interaction-gateway');Design;The ADR primarily addresses the organization and structure of application configuration, focusing on how configuration keys are managed, nested, and defaulted. These are core aspects of system design, specifically related to configuration management and logical organization of settings within the system.;0,85;Infrastructure;0.0
'cutting release branch does not create a set of rc artifacts Status: Rejected When cutting release branches, a set of rc artifacts are not automatically created. The user must disable --diffcheck to generate a set of rc artifacts, or manually publish the last dev artifacts to the rc feed, or update the rc tags in the case of single registry. This process might be made simpler for the end-user, so that intervention is not required when cutting a release branch. CLI helper tools that automates release cutoff tasks Create a CLI tool that automates the tasks required when cutting a release branch: fetch last set of artifacts from develop feed and publish them to the rc feed, or updates the rc NPM tags to point to the last set of develop artifacts. The CLI would have to authenticate to both the dev and rc feeds, which could be achieved using two separate .npmrc files Automatically create new rc artifacts for a new branch The build command will automatically create rc artifacts on a release cutoff, instead of showing that there is nothing to be built This can be achieved by encoding the branch in the build metadata, so that tags can be further filtered by branch e.g. major.minor.patch-buildNumber+ Disable --diffcheck when cutting new release branches Lowest effort User is responsible for toggling --diffcheck when cutting release branches, so that a set of rc artifacts is created We move away from recommending multiple feeds, rather to use a single feed originating from the trunk, and release definitions will utilize the LATEST_TAG or LATEST_GIT_TAG to do a release from the from the release branch. Users are expected to follow semantic versioning to prevent conflicts. In the case of parallel development, it is still possible to use semantic versioning in a single artifact repository.';005-cutting-release-branch.md;('Accenture', 'sfpowerscripts');Technology;The ADR primarily discusses changes to the release process, build metadata, and tagging strategies, which involve selecting and configuring tools and standards related to artifact management and versioning. It does not focus on system structure, deployment environment, team processes, or quality attributes directly, but rather on the tooling and platform mechanisms used for releases.;0,60;Technology;1.0
'message driven content tracker v2 Date: 05/02/2020 WIP This is a second iteration of content tracking via message bus design. See previous version. New content tracker implementation will be based on new Search Services architecture (SS v2.0 or next gen). Main context behind this decision is almost the same as for v1 - get more throughput by leveraging new Transform Service. The decision is based on version 1. The main differences are: * Shared File Store may not be the right option as it is only available for Enterprise. Alternatively the URL to content can point to other locations. (TBC) * The change in behaviour requires a major release of Search Services, most likely version 2.0. * The changes in Content Repository will be available from version 6.3. * The synchronous transformation APIs will remain functional until 7.0. Details of the architecture to be clarified (WIP). Additional latency will be introduced due to the extra calls when using the Transform Service. Also the transformation capabilities are much more limited. This design highlights a major difference in behaviour, which requires a major release of Search Services.';0009-message-driven-content-tracker-next-gen.md;('Alfresco', 'SearchServices');Design;The ADR primarily discusses the architectural structure and design choices related to message-driven content tracking, including system components, data flow, and versioning strategies. It focuses on the overall system architecture, such as the use of message buses, content repositories, and service versions, which are characteristic of design-level decisions.;0,85;Design;1.0
'10. managing secrets used by dbp within the kubernetes deployment Date: 2018-05-29 Accepted Many of the components the Digital Business Platform have files or credentials that should be protected within the Kubernetes deployment. Kubernetes has the concept of secrets within the deployment however certain measures need to be applied to ensure the security of these objects. There is no turn key solution for securing data within Kubernetes however there are several levels of security that can be applied. We will be transforming all configuration and files that we believe that could hold secrets into Kubernetes secret objects. Aside from that, the helm charts that we produce will provision Role Based Access Control policies to control the components access to Kubernetes objects. As a result of this decision the storage and associated level of security (for direct Kubernetes Users) of those secrets is the responsibility of the customer. The first and most important issue to first solve is identifying what needs to be kept as a Secret from Kubernetes Users. This includes license files, credentials for databases, credentials for connecting to external service providers, encryption keys and other business related information that may be considered secrets. As an example, s3 connector credential setup for ACS would need to be stored as a Secret object in Kubernetes. A second step in securing these elements would be to follow Kubernetes best practices on securing secrets. Following these concepts we identified several risks and practices that need to be addressed. Role Based Access Control policies should be applied at the Application and Direct Kubernetes User levels. Enabling Auditing at cluster level is another step to take in order to have a cronological set of records documenting user activities. Applications should not expose any secret data through logging or transmitting them to an untrusted party. Encryption at Rest (within Kubernetes etcd storage) should be enabled however this implementations is in alpha state in Kubernetes 1.10. Secret Kubernetes Manifests should not be shared or checked in to a source repository with Base64 encoding. This security risk has multiple fixes in the Kubernetes community, out of which we believe sealed-secrets and helm-secrets are great candidates for resolving this. The third posible layer of security would be a Kubernetes integration with an external secret provider where only the pods using that secret will be able to see the secret data, the secret itself would not be saved as a Kubernetes object. For this layer the current solution on the market which we investigated would be the vault-operator as a Kubernetes implementation that connects to Hashicorp Vault to fetch secrets.';0010-managing-secrets-used-by-dbp.md;('Alfresco', 'alfresco-anaxes-shipyard');Constraint;The ADR primarily discusses security measures and best practices related to managing secrets within Kubernetes, which are often driven by external requirements such as security policies, compliance standards, and organizational Constraint. The decision emphasizes adherence to best practices and external security considerations, aligning it with Constraint that limit or guide architectural choices.;0,80;Infrastructure;0.0
'application configuration setup Date: 2020-05-07 Accepted Up to the point of writing this ADR, the SIA application aims to service only the municipality of Amsterdam. However, because of the nature of the application, more municipalities have shown an interest in the functionality the application has to offer. This poses a challenge, because there is a lot in the application that is specific to the municipality of Amsterdam. To sum up, amongst Other (in random order): Docker registry URLs URLs of API endpoints, machine learning service, Authz service and map server Nginx configuration HTML <title /> Sentry Package dependency and configuration PWA manifest Logo Favicon PWA icons Hardcoded strings Main menu items Theme configuration Maps settings amsterdam-stijl Package Package dependency Package URL and description All of the above need to be configurable or should be taken out of the equation to be able to publish a white-label version of signals-frontend. In the near future (at the time of writing), the client wants both meldingen.weesp.nl and meldingen.amsterdamsebos.nl to make use of the same functionality as is currently available at meldingen.amsterdam.nl. Both applications need to be branded and have settings that are specific to the Weesp and Amsterdamse Bos brands. None of the mentioned settings can or should yet be maintainable by means of a CMS. Till that moment comes, everything listed can be considered 'static'. To be able to deploy a branded version of the white-label application, we have several options at our disposal. The most notable are: Taking the pros and cons, the application's architecture, the Datapunt infrastructure and upcoming client wishes into account, the decision is made to go for the Server-side / container option. The repository will contain default configuration options so that it can be run locally and still be deployed to (acc.)meldingen.amsterdam.nl without the application breaking. Configuration is injected in the index.html file so it can be read at run-time. All brand specific variables are retrieved on the client-side by means of an XHR request. The entire application should wait until those settings have been retrieved. Pros Makes it possible to have all settings maintainable via a (headless) CMS Cons Render blocking request Database as well as endpoint setup and maintenance required API URLs need to be provided separately so that each application instance can have its own API Differs from current configuration setup and requires refactoring of the configuration service All variables are injected into the application at build-time through environment variables or static JSON data. Pros No render-blocking XHR request required No database or endpoint setup and maintenance required Each application instance can be deployed with the settings it needs The architecture of the application doesn't notably change Cons Changes in variable values can only be applied by deploying the application';0003-application-configuration-setup.md;('Amsterdam', 'signals-frontend');Design;The ADR primarily discusses how to structure and manage application configuration, focusing on the method of injecting configuration data into the application at runtime. This pertains to the logical organization and architecture of the application's configuration handling, which falls under Design, especially regarding system structure and deployment approach.;0,75;Implementation;0.0
'web application Accepted We need an application platform that meets the following requirements: Cross-platform: The app may be used to enter data on phone or tablet in real time or through a computer at a later stage. Works offline: Given the environmental conditions on a boat in the middle of the ocean, consistent internet connection is not a given. Thus, our tech stack must provide offline capabilities with minimal-to-no data loss. The decision was made to create a web app with offline capability due to the flexibility and speed it offers. Creating native applications for each of the required platforms would not be feasible with the available time and resources. Progessive Web Apps Cache Invalidation Spike By creating a web app that meets certain criteria, the app will be downloaded to cache on first use. This means that the app will be accessible offline. This option would also allow us to create a single application which could be used on any device with a modern web browser. Another option would be to develop a native application for each platform which may be used (iOS, macOS, Android, Windows). These apps could be developed more rapidly using something like React Native which would allow some components to be shared. This method would give us greater control and potentially give a better user experience. Since selecting a web app as the platform for this project a number of issues have been discovered: Updating the app to the latest version is inconsistent between browsers and devices. Refreshing while offline may show a 'No internet connection' page until the app is closed and reopened. Offline behaviour on iOS in particular seems inconsistent with other platforms.';2019-11-20_webapp.md;('BMMRO-tech', 'BMMRO');Technology;The ADR primarily discusses the choice of platform and technology stack—opting for a Progressive Web App (PWA) versus native applications—focusing on the technological approach and tools to implement the system. It does not delve into system structure, deployment environment, organizational processes, Constraint, or quality attributes directly, but rather centers on selecting the appropriate technology solution.;0,70;Technology;1.0
'use gorilla/mux for routing We need a way to serve routes so that we can create an application with functionality that is useful for the front end. A router is helpful for handling multiple dynamic endpoints, each in their own unique way and mass handling endpoints. This is helpful for developers to iteratively add new API endpoints, and ultimately ensures faster delivery to our end users. gorilla/mux gin-gonic/gin Use the Standard Library Only Write our own routing Chosen Alternative: gorilla/mux We've decided that gorilla/mux is the right solution as it is maintained by Gorilla Tool Kit. It handles routing in a way that conforms to golang best practices. Truss has used other Gorilla tools before. This also lets us follow more common API patterns in golang as described in this blog post + Truss has used gorilla tools before + Allows us to follow well-known golang practices + Been tested on other projects + Allows for a complex pattern matching on routes - Requires importing a package + Has a lot of structure for many aspects of building out a golang application - Doesn’t use go standard lib patterns like HandlerFunc - Doesn't follow a lot of well-known golang practices - Has more features than we need (including logging, validation, rendering, middleware, let's encrypt support and more) - Requires importing a package + No package imports or dependency locking - It only allows for static routes. + We get exactly what we want and need + No package imports or dependency locking - We have to maintain and handle any security implications - Requires upfront work to build out features we want';0014-use-mux-for-routing.md;('CMSgov', 'easi-app');Technology;The ADR primarily concerns the selection of a specific routing library (gorilla/mux) for the application, which falls under the category of choosing technologies or frameworks to implement system functionality.;0,80;Technology;1.0
