ADR,Organization-Project,primary_category,explanation,max_confidence_value
adr-003-store-connector-container-component.md,"('AYCHAIN', 'AYCHAIN.github.io')",Design Decisions,"The ADR primarily discusses the architectural pattern for connecting state and components within a UI framework, which pertains to the logical organization and structure of the system. It details how components, containers, and connectors are structured and interact, aligning with design and architectural organization rather than technology, infrastructure, or other categories.",0.85
adr-004.md,"('Abelaa', 'pcmt')",Infrastructure Decisions,"The ADR focuses on provisioning and deployment environment setup using tools like Ansible, Terraform, and Docker, which are related to deployment infrastructure and environment configuration.",0.7
adr-007.md,"('Abelaa', 'pcmt')",Technology Decisions,"The ADR focuses on establishing a versioning and release mechanism, which involves selecting specific standards and practices related to versioning, CI/CD pipelines, and tagging conventions. These are primarily technology choices concerning how the system's releases are managed and identified.",0.75
0003-for-config-prefer-prefix-over-nesting-and-don-t-hide-defaults-in-code.md,"('Accenture', 'reactive-interaction-gateway')",Design Decisions,"The ADR primarily addresses the organization and structure of application configuration, focusing on how configuration keys are managed, nested, and defaulted. These are core aspects of system design, specifically related to configuration management and logical organization of settings within the system.",0.85
005-cutting-release-branch.md,"('Accenture', 'sfpowerscripts')",Technology Decisions,"The ADR primarily discusses changes to the release process, build metadata, and tagging strategies, which involve selecting and configuring tools and standards related to artifact management and versioning. It does not focus on system structure, deployment environment, team processes, or quality attributes directly, but rather on the tooling and platform mechanisms used for releases.",0.6
0009-message-driven-content-tracker-next-gen.md,"('Alfresco', 'SearchServices')",Design Decisions,"The ADR primarily discusses the architectural structure and design choices related to message-driven content tracking, including system components, data flow, and versioning strategies. It focuses on the overall system architecture, such as the use of message buses, content repositories, and service versions, which are characteristic of design-level decisions.",0.85
0010-managing-secrets-used-by-dbp.md,"('Alfresco', 'alfresco-anaxes-shipyard')",Constraints,"The ADR primarily discusses security measures and best practices related to managing secrets within Kubernetes, which are often driven by external requirements such as security policies, compliance standards, and organizational constraints. The decision emphasizes adherence to best practices and external security considerations, aligning it with constraints that limit or guide architectural choices.",0.8
0003-application-configuration-setup.md,"('Amsterdam', 'signals-frontend')",Design Decisions,"The ADR primarily discusses how to structure and manage application configuration, focusing on the method of injecting configuration data into the application at runtime. This pertains to the logical organization and architecture of the application's configuration handling, which falls under design decisions, especially regarding system structure and deployment approach.",0.75
2019-11-20_webapp.md,"('BMMRO-tech', 'BMMRO')",Technology Decisions,"The ADR primarily discusses the choice of platform and technology stack—opting for a Progressive Web App (PWA) versus native applications—focusing on the technological approach and tools to implement the system. It does not delve into system structure, deployment environment, organizational processes, constraints, or quality attributes directly, but rather centers on selecting the appropriate technology solution.",0.7
0014-use-mux-for-routing.md,"('CMSgov', 'easi-app')",Technology Decisions,"The ADR primarily concerns the selection of a specific routing library (gorilla/mux) for the application, which falls under the category of choosing technologies or frameworks to implement system functionality.",0.8
